Status,Bereich,Schlüssel,Wo es erscheint,Englisch,Deutsch,Französisch,Lëtzebuergesch
OFFEN,2 Orte,place3.description,Beschreibung — Street Food Festival Luxemburg,"A lively family-friendly food festival with street food stalls, music and open public spaces.","Ein lebendiges familienfreundliches Essensfestival mit Streetfood-Staenden, Musik und offenen Plaetzen.","Un festival convivial avec stands de street food, musique et espaces ouverts.","E liewegt famillefrëndlecht Iessensfestival mat Street-Food-Stänn, Musek an oppene Plazen."
OFFEN,2 Orte,place4.title,Name des Ortes — Kizou Indoor Spielplatz,Kizou Indoor Play,Kizou Indoor Spielplatz,Kizou Aire de Jeux Couverte,Kizou Indoor-Spillplaz
OFFEN,2 Orte,place4.short,Kurzbeschreibung — Kizou Indoor Spielplatz,Indoor playground for all ages.,Indoor-Spielplatz für alle Altersgruppen.,Aire de jeux couverte pour tous.,Indoor-Spillplaz fir all Alter.
OFFEN,2 Orte,place4.weatherFit,Wetter-Hinweis — Kizou Indoor Spielplatz,Great when it rains,Super bei Regen,Ideal sous la pluie,Super wann et reent
OFFEN,2 Orte,place4.date,Öffnungszeit / Datum — Kizou Indoor Spielplatz,Open daily,Täglich offen,Ouvert tous les jours,All Dag op
OFFEN,2 Orte,place4.priceLabel,Preisangabe — Kizou Indoor Spielplatz,EUR 12 / child,12 EUR / Kind,12 EUR / enfant,12 EUR / Kand
OFFEN,2 Orte,place4.accessibility,Barrierefreiheit — Kizou Indoor Spielplatz,Stroller parking,Kinderwagen-Parkplatz,Parking poussettes,Kannerwon-Parking
OFFEN,2 Orte,place4.description,Beschreibung — Kizou Indoor Spielplatz,"An energetic indoor play zone with soft play, climbing areas and a cafe for parents.","Eine energiegeladene Indoor-Spielzone mit Soft-Play, Kletterbereich und Cafe für Eltern.","Une zone de jeux interieure dynamique avec espaces souples, escalade et cafe pour parents.","Eng flott Indoor-Spillzon mat Soft-Play, Kletterberäich an engem Café fir d'Elteren."
OFFEN,2 Orte,place5.title,Name des Ortes — Naturmuseum,Natur Musee,Naturmuseum,Musée National d'Histoire Naturelle,Naturmusée
OFFEN,2 Orte,place5.short,Kurzbeschreibung — Naturmuseum,Interactive museum about nature.,Interaktives Museum über die Natur.,Musée interactif sur la nature.,Interaktive Musée iwwer d'Natur.
OFFEN,2 Orte,place5.weatherFit,Wetter-Hinweis — Naturmuseum,Excellent indoor backup,Ausgezeichnete Indoor-Option,Excellent plan B en intérieur,Exzellent Indoor-Alternativ
OFFEN,2 Orte,place5.date,Öffnungszeit / Datum — Naturmuseum,Open daily,Täglich offen,Ouvert tous les jours,All Dag op
OFFEN,2 Orte,place5.priceLabel,Preisangabe — Naturmuseum,EUR 5 / adult - kids free,5 EUR / Erw. - Kinder gratis,5 EUR / adulte - enfants gratuits,5 EUR / Erwuessen - Kanner gratis
OFFEN,2 Orte,place5.accessibility,Barrierefreiheit — Naturmuseum,Barrier-free,Barrierefrei,Sans barrieres,Barrièrefräi
OFFEN,2 Orte,place5.description,Beschreibung — Naturmuseum,"Interactive exhibitions about wildlife, geology and ecosystems with plenty for curious children.","Interaktive Ausstellungen über Tierwelt, Geologie und Ökosysteme mit viel für neugierige Kinder.","Expositions interactives sur la faune, la geologie et les ecosystemes pour enfants curieux.","Interaktiv Ausstellungen iwwer d'Déierewelt, d'Geologie an d'Ökosystemer mat vill fir virwëtzeg Kanner."
OFFEN,2 Orte,place6.title,Name des Ortes — Parc Merveilleux Bettemburg,Parc Merveilleux Bettembourg,Parc Merveilleux Bettemburg,Parc Merveilleux Bettembourg,Parc Merveilleux Beetebuerg
OFFEN,2 Orte,place6.short,Kurzbeschreibung — Parc Merveilleux Bettemburg,Fairytale park with animals and rides.,Maerchenpark mit Tieren und Fahrgeschaeften.,Parc de contes avec animaux et manages.,Mäerchepark mat Déieren an Attraktiounen.
OFFEN,2 Orte,place6.weatherFit,Wetter-Hinweis — Parc Merveilleux Bettemburg,Best on sunny days,Am besten an sonnigen Tagen,Au mieux par temps ensoleille,Am beschten u sonnegen Deeg
OFFEN,2 Orte,place6.date,Öffnungszeit / Datum — Parc Merveilleux Bettemburg,Open daily until October,Täglich offen bis Oktober,Ouvert tous les jours jusqu'en octobre,All Dag op bis Oktober
OFFEN,2 Orte,place6.priceLabel,Preisangabe — Parc Merveilleux Bettemburg,EUR 14 / adult - EUR 11 / child,14 EUR / Erw. - 11 EUR / Kind,14 EUR / adulte - 11 EUR / enfant,14 EUR / Erwuessen - 11 EUR / Kand
OFFEN,2 Orte,place6.accessibility,Barrierefreiheit — Parc Merveilleux Bettemburg,Stroller friendly,Kinderwagenfreundlich,Accessible poussette,Kannerwoenfrëndlech
OFFEN,2 Orte,place6.description,Beschreibung — Parc Merveilleux Bettemburg,"A magical adventure park combining fairytale scenes, animal enclosures, playgrounds and a small train.","Ein magischer Abenteuerpark mit Maerchenszenen, Tiergehegen, Spielplaetzen und einer kleinen Bahn.","Un parc d'aventure magique avec contes, enclos d'animaux, aires de jeux et un petit train.","E magesche Fräizäitpark mat Mäercheszenen, Déiereparken, Spillplazen an engem klengen Zuch."
OFFEN,2 Orte,place7.title,Name des Ortes — Mullerthal Wanderung für Kinder,Mullerthal Hike for Kids,Mullerthal Wanderung für Kinder,Randonnee Mullerthal pour Enfants,Mëllerdall-Wanderung fir Kanner
OFFEN,2 Orte,place7.short,Kurzbeschreibung — Mullerthal Wanderung für Kinder,Family-friendly trail in the Little Switzerland.,Familienfreundlicher Pfad in der kleinen Schweiz.,Sentier familial dans la petite Suisse.,Famillefrëndleche Wee an der Klenger Schwäiz.
OFFEN,2 Orte,place7.weatherFit,Wetter-Hinweis — Mullerthal Wanderung für Kinder,"Cool forest, great on hot days","Kuehler Wald, ideal bei Hitze","Foret fraiche, ideale par chaleur","Kille Bësch, ideal bei Hëtzt"
OFFEN,2 Orte,place7.date,Öffnungszeit / Datum — Mullerthal Wanderung für Kinder,Anytime,Jederzeit,A tout moment,Zu all Zäit
OFFEN,2 Orte,place7.priceLabel,Preisangabe — Mullerthal Wanderung für Kinder,Free,Kostenlos,Gratuit,Gratis
OFFEN,2 Orte,place7.accessibility,Barrierefreiheit — Mullerthal Wanderung für Kinder,Hiking shoes recommended,Wanderschuhe empfohlen,Chaussures de randonnee recommandees,Wanderschong recommandéiert
OFFEN,2 Orte,place7.description,Beschreibung — Mullerthal Wanderung für Kinder,"Discover dramatic sandstone rocks, mossy forest and waterfalls on a gentle loop tailored for kids.","Entdecke dramatische Sandsteinfelsen, moosigen Wald und Wasserfaelle auf einer sanften Schleife.","Decouvrez des rochers de gres, foret moussue et cascades sur une boucle douce.","Entdeck imposant Sandsteefielsen, moosege Bësch a Waasserfäll op enger einfacher Ronn fir Kanner."
OFFEN,2 Orte,place8.title,Name des Ortes — Aquasud Schwimmbad,Aquasud Swimming Pool,Aquasud Schwimmbad,Piscine Aquasud,Aquasud Schwämm
OFFEN,2 Orte,place8.short,Kurzbeschreibung — Aquasud Schwimmbad,Family pool with slides and shallow areas.,Familienbad mit Rutschen und flachen Bereichen.,Piscine familiale avec toboggans.,Famillebad mat Rutschen a flaache Beräicher.
OFFEN,2 Orte,place8.weatherFit,Wetter-Hinweis — Aquasud Schwimmbad,Any weather,Bei jedem Wetter,Par tous les temps,Bei all Wieder
OFFEN,2 Orte,place8.date,Öffnungszeit / Datum — Aquasud Schwimmbad,Open daily,Täglich offen,Ouvert tous les jours,All Dag op
OFFEN,2 Orte,place8.priceLabel,Preisangabe — Aquasud Schwimmbad,EUR 5.5 / adult - EUR 3.5 / child,"5,50 EUR / Erw. - 3,50 EUR / Kind","5,50 EUR / adulte - 3,50 EUR / enfant","5,50 EUR / Erwuessen - 3,50 EUR / Kand"
OFFEN,2 Orte,place8.accessibility,Barrierefreiheit — Aquasud Schwimmbad,Lift available,Aufzug vorhanden,Ascenseur disponible,Lift virhanden
OFFEN,2 Orte,place8.description,Beschreibung — Aquasud Schwimmbad,"Modern aquatic centre with a kids lagoon, slides, wave pool and a heated outdoor area in summer.","Modernes Schwimmzentrum mit Kinderlagune, Rutschen, Wellenbad und beheiztem Aussenbereich.","Centre aquatique moderne avec lagune enfants, toboggans et zone exterieure chauffee.","Modernt Schwämmzentrum mat Kannerlagun, Rutschen, Wellebad an engem gehëtzte Bausseberäich am Summer."
